phone_1,phone_2,language_1,AB_Order,speaker_1,file_1,onset_1,offset_1,item_1,word_1,interval_1,sex_1,triplet_id,target_other,file_2,interval_2,item_2,language_2,offset_2,onset_2,sex_2,speaker_2,word_2,distance
kʰ,kʰ,ENG,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,22.591720000000002,22.99,Mrajesh2_6,AKHA,6,M,t_0965397,TGT,stimuli_raw/wav/Fbhavya1.wav,6,Fbhavya1_6,ENG,43.35,42.9,F,Fbhavya,AKHA,0.24284073761742217
kʰ,kʰ,ENG,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,35.21,35.69,Mrajesh1_4,AKHA,4,M,t_0964777,TGT,stimuli_raw/wav/Fbhavya1.wav,5,Fbhavya1_5,ENG,41.29,40.87,F,Fbhavya,AKHA,0.25153433721790397
kʰ,kʰ,ENG,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,19.21365,19.62,Mrajesh2_4,AKHA,4,M,t_0481666,TGT,stimuli_raw/wav/Fbhavya2.wav,4,Fbhavya2_4,ENG,20.782120000000003,20.36,F,Fbhavya,AKHA,0.24953651040124222
l,l,ENG,TgtOth,FNiralee,stimuli_raw/wav/FNiralee1.wav,607.44483,607.8731799999998,FNiralee1_77,ALA,77,F,t_0454730,TGT,stimuli_raw/wav/Mnirbhay2.wav,77,Mnirbhay2_77,ENG,304.23,303.83,M,Mnirbhay,ALA,0.18491948314323947
l,l,ENG,TgtOth,FNiralee,stimuli_raw/wav/FNiralee1.wav,609.55502,610.0154,FNiralee1_78,ALA,78,F,t_0453597,TGT,stimuli_raw/wav/Mnirbhay2.wav,76,Mnirbhay2_76,ENG,300.47,300.06,M,Mnirbhay,ALA,0.18486712640685504
l,l,ENG,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,205.54043000000001,205.92,Mrajesh2_76,ALA,76,M,t_0583357,TGT,stimuli_raw/wav/Fbhavya2.wav,78,Fbhavya2_78,ENG,230.05,229.7,F,Fbhavya,ALA,0.20858441035351055
l,l,ENG,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,267.46272,267.83,Mrajesh1_78,ALA,78,M,t_1066242,TGT,stimuli_raw/wav/Fbhavya1.wav,79,Fbhavya1_79,ENG,515.26385,514.9,F,Fbhavya,ALA,0.19674897402702138
l,l,ENG,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,209.22802,209.53,Mrajesh2_78,ALA,78,M,t_1066200,TGT,stimuli_raw/wav/Fbhavya1.wav,79,Fbhavya1_79,ENG,515.26385,514.9,F,Fbhavya,ALA,0.20601762680021926
l,l,ENG,OthTgt,FNiralee,stimuli_raw/wav/FNiralee1.wav,609.55502,610.0154,FNiralee1_78,ALA,78,F,t_0454767,TGT,stimuli_raw/wav/Mnirbhay2.wav,77,Mnirbhay2_77,ENG,304.23,303.83,M,Mnirbhay,ALA,0.20175905284487342
m,m,ENG,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,187.55426,187.88,Mrajesh2_69,AMA,69,M,t_0571647,TGT,stimuli_raw/wav/Fbhavya2.wav,69,Fbhavya2_69,ENG,204.22,203.85,F,Fbhavya,AMA,0.2192143146986992
