phone_1,phone_2,language_1,mean_dist,sd_dist,AB_Order,speaker_1,file_1,onset_1,offset_1,item_1,word_1,interval_1,sex_1,triplet_id,target_other,file_2,interval_2,item_2,language_2,offset_2,onset_2,sex_2,speaker_2,word_2,distance
ɖ,tʰ,HIN,0.304995598438692,0.011294478831351547,TgtOth,FNiralee,stimuli_raw/wav/FNiralee2.wav,128.58536999999998,129.07547,FNiralee2_36,ADRA,36,F,t_0894297,OTH,stimuli_raw/wav/Mrajesh1.wav,44,Mrajesh1_44,ENG,170.45,170.00742,M,Mrajesh,ATHA,0.3129820010103086
ɖ,t͡ʃʰ,HIN,0.31177173207123143,0.013122494636158968,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,149.09229,149.45944,Mrajesh1_36,ADRA,36,M,t_1006578,OTH,stimuli_raw/wav/FNiralee2.wav,17,FNiralee2_17,ENG,64.0105,63.48,F,FNiralee,ATXHA,0.3210507370145435
ɖʱ,ɾ,HIN,0.3244004473308188,0.004810326478523326,OthTgt,FNiralee,stimuli_raw/wav/FNiralee2.wav,137.22415,137.75,FNiralee2_39,ADRHA,39,F,t_0415386,OTH,stimuli_raw/wav/Mrajesh1.wav,74,Mrajesh1_74,ENG,256.69,256.26,M,Mrajesh,ARA,0.32099903285813375
ɖʱ,ʃ,HIN,0.33430557843821107,0.04954071192317587,TgtOth,FNiralee,stimuli_raw/wav/FNiralee2.wav,132.37637,132.9209,FNiralee2_37,ADRHA,37,F,t_0417238,OTH,stimuli_raw/wav/Mrajesh1.wav,83,Mrajesh1_83,ENG,283.76,283.33177,M,Mrajesh,AXA,0.29927500509252414
ɖʱ,ɦ,HIN,0.33212300884612456,0.01724072001625422,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,105.49903,105.91,Mrajesh2_38,ADRHA,38,M,t_1014071,OTH,stimuli_raw/wav/FNiralee2.wav,92,FNiralee2_92,ENG,360.1,359.61024,F,FNiralee,AHHA,0.34431403888215656
ɖʱ,b,HIN,0.3060674637680776,0.008430555004411212,OthTgt,FNiralee,stimuli_raw/wav/FNiralee1.wav,295.78499,296.32082,FNiralee1_37,ADRHA,37,F,t_0419587,OTH,stimuli_raw/wav/Mrajesh2.wav,62,Mrajesh2_62,ENG,171.12,170.72062,M,Mrajesh,ABA,0.31202876638086297
ɖʱ,d,HIN,0.31964233483173154,0.04624435551525845,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,156.13224,156.52,Mrajesh1_39,ADRHA,39,M,t_0535101,OTH,stimuli_raw/wav/FNiralee2.wav,47,FNiralee2_47,ENG,162.44044,162.01984,F,FNiralee,ADA,0.35234203220817234
ɖʱ,d͡ʒ,HIN,0.30815238490639335,0.018784176965738753,TgtOth,FNiralee,stimuli_raw/wav/FNiralee2.wav,134.74537,135.24376,FNiralee2_38,ADRHA,38,F,t_0416681,OTH,stimuli_raw/wav/Mrajesh1.wav,20,Mrajesh1_20,ENG,111.19,110.78631000000001,M,Mrajesh,ADXA,0.29486996599491133
ɖʱ,g,HIN,0.3036953493646769,0.0010186617118171915,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,107.24923000000001,107.66,Mrajesh2_39,ADRHA,39,M,t_1011240,OTH,stimuli_raw/wav/FNiralee2.wav,9,FNiralee2_9,ENG,31.740540000000003,31.150879999999997,F,FNiralee,AGA,0.3044156519688379
ɖʱ,kʰ,HIN,0.27066297940401474,0.00862229747874636,OthTgt,FNiralee,stimuli_raw/wav/FNiralee2.wav,137.22415,137.75,FNiralee2_39,ADRHA,39,F,t_0416502,OTH,stimuli_raw/wav/Mrajesh1.wav,4,Mrajesh1_4,ENG,35.69,35.21,M,Mrajesh,AKHA,0.276759864420644
ɖʱ,l,HIN,0.31921907003021205,0.013549873280333758,TgtOth,FNiralee,stimuli_raw/wav/FNiralee2.wav,137.22415,137.75,FNiralee2_39,ADRHA,39,F,t_0419796,OTH,stimuli_raw/wav/Mrajesh2.wav,77,Mrajesh2_77,ENG,207.72,207.35908999999998,M,Mrajesh,ALA,0.30963786274946964
ɖʱ,m,HIN,0.33378885125063007,0.017521198334108576,OthTgt,FNiralee,stimuli_raw/wav/FNiralee2.wav,132.37637,132.9209,FNiralee2_37,ADRHA,37,F,t_0896239,OTH,stimuli_raw/wav/Mrajesh1.wav,67,Mrajesh1_67,ENG,239.16,238.8,M,Mrajesh,AMA,0.3461782094071927
ɖʱ,n,HIN,0.29116709407341923,0.048006530243626507,TgtOth,FNiralee,stimuli_raw/wav/FNiralee1.wav,300.04458999999997,300.50023,FNiralee1_39,ADRHA,39,F,t_0898752,OTH,stimuli_raw/wav/Mrajesh2.wav,52,Mrajesh2_52,ENG,145.88,145.54474,M,Mrajesh,ANA,0.25722135099691384
ɖʱ,s,HIN,0.34037171949678635,0.018953476342998814,OthTgt,FNiralee,stimuli_raw/wav/FNiralee1.wav,300.04458999999997,300.50023,FNiralee1_39,ADRHA,39,F,t_0898302,OTH,stimuli_raw/wav/Mrajesh1.wav,90,Mrajesh1_90,ENG,300.96,300.57555,M,Mrajesh,ASA,0.35377385114597965
ɖʱ,tʰ,HIN,0.28748785376654307,0.018949016292063203,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,152.43025,152.86,Mrajesh1_37,ADRHA,37,M,t_1012552,OTH,stimuli_raw/wav/FNiralee1.wav,44,FNiralee1_44,ENG,357.12737999999996,356.64808,F,FNiralee,ATHA,0.3008868316834753
ɖʱ,t͡ʃʰ,HIN,0.3035053918830001,0.015354334300313847,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,156.13224,156.52,Mrajesh1_39,ADRHA,39,M,t_1013598,OTH,stimuli_raw/wav/FNiralee2.wav,17,FNiralee2_17,ENG,64.0105,63.48,F,FNiralee,ATXHA,0.3143625457873572
d͡ʒʱ,ɾ,HIN,0.33536606745739683,0.013087613994568977,TgtOth,FNiralee,stimuli_raw/wav/FNiralee2.wav,93.5,94.09103,FNiralee2_25,ADXHA,25,F,t_0401878,OTH,stimuli_raw/wav/Mrajesh1.wav,73,Mrajesh1_73,ENG,254.83,254.44351,M,Mrajesh,ARA,0.3261117268522852
d͡ʒʱ,ʃ,HIN,0.27604269606485077,0.009464244084277852,TgtOth,FNiralee,stimuli_raw/wav/FNiralee2.wav,93.5,94.09103,FNiralee2_25,ADXHA,25,F,t_0884434,OTH,stimuli_raw/wav/Mrajesh1.wav,84,Mrajesh1_84,ENG,285.64,285.24807999999996,M,Mrajesh,AXA,0.2827349272356483
