phone_X,language_X,AB_Order,speaker_X,file_X,onset_X,offset_X,item_X,word_X,interval_X,sex_X,triplet_id,distance_OTH,phone_OTH,file_OTH,interval_OTH,item_OTH,language_OTH,offset_OTH,onset_OTH,sex_OTH,speaker_OTH,word_OTH,distance_TGT,phone_TGT,file_TGT,interval_TGT,item_TGT,language_TGT,offset_TGT,onset_TGT,sex_TGT,speaker_TGT,word_TGT
s,ENG,OthTgt,FNiralee,stimuli_raw/wav/FNiralee1.wav,696.1034,696.60946,FNiralee1_89,ASA,89,F,t_0461498,0.32675322751589,ɳ,stimuli_raw/wav/Mrajesh2.wav,108,Mrajesh2_108,HIN,288.00268,287.62501,M,Mrajesh,ANRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
s,ENG,TgtOth,FNiralee,stimuli_raw/wav/FNiralee2.wav,347.6,348.08423999999997,FNiralee2_88,ASA,88,F,t_0461416,0.342680025781612,ɽ,stimuli_raw/wav/Mrajesh2.wav,104,Mrajesh2_104,HIN,279.82,279.4325,M,Mrajesh,ARTA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
s,ENG,TgtOth,FNiralee,stimuli_raw/wav/FNiralee2.wav,347.6,348.08423999999997,FNiralee2_88,ASA,88,F,t_0941785,0.337300050084833,ɽʱ,stimuli_raw/wav/Mrajesh1.wav,100,Mrajesh1_100,HIN,327.33848,326.93403,M,Mrajesh,ARTHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tʰ,ENG,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,119.15133,119.59,Mrajesh2_43,ATHA,43,M,t_0539509,0.305402416723588,bʱ,stimuli_raw/wav/FNiralee1.wav,65,FNiralee1_65,HIN,497.37098,496.92613,F,FNiralee,ABHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tʰ,ENG,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,120.94246000000001,121.36,Mrajesh2_44,ATHA,44,M,t_1019051,0.298021953212841,dʱ,stimuli_raw/wav/FNiralee1.wav,49,FNiralee1_49,HIN,397.74569,397.21643,F,FNiralee,ADHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tʰ,ENG,TgtOth,FNiralee,stimuli_raw/wav/FNiralee2.wav,155.72736,156.25828,FNiralee2_45,ATHA,45,F,t_0901173,0.302646457916198,ɖʱ,stimuli_raw/wav/Mrajesh1.wav,37,Mrajesh1_37,HIN,152.86,152.43025,M,Mrajesh,ADRHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tʰ,ENG,OthTgt,FNiralee,stimuli_raw/wav/FNiralee2.wav,151.1213,151.6,FNiralee2_43,ATHA,43,F,t_0421540,0.361976846277011,ɳ,stimuli_raw/wav/Mrajesh1.wav,107,Mrajesh1_107,HIN,346.34256,345.91035,M,Mrajesh,ANRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tʰ,ENG,TgtOth,FNiralee,stimuli_raw/wav/FNiralee1.wav,356.64808,357.12737999999996,FNiralee1_44,ATHA,44,F,t_0903521,0.363048300708846,ɽ,stimuli_raw/wav/Mrajesh1.wav,103,Mrajesh1_103,HIN,336.99044,336.57115,M,Mrajesh,ARTA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tʰ,ENG,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,168.15444,168.54,Mrajesh1_43,ATHA,43,M,t_1019848,0.327322650780407,ɽʱ,stimuli_raw/wav/FNiralee2.wav,102,FNiralee2_102,HIN,390.36287,389.88054,F,FNiralee,ARTHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tʰ,ENG,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,122.7473,123.14,Mrajesh2_45,ATHA,45,M,t_0540747,0.23382973937623,ʈʰ,stimuli_raw/wav/FNiralee1.wav,31,FNiralee1_31,HIN,256.82063,256.32772,F,FNiralee,ATRHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
