phone_1,phone_2,language_1,AB_Order,speaker_1,file_1,onset_1,offset_1,item_1,word_1,interval_1,sex_1,triplet_id,target_other,file_2,interval_2,item_2,language_2,offset_2,onset_2,sex_2,speaker_2,word_2,distance
ɳ,b,HIN,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,345.91035,346.34256,Mrajesh1_107,ANRA,107,M,t_0617408,OTH,stimuli_raw/wav/FNiralee1.wav,63,FNiralee1_63,ENG,479.54849,479.04454000000004,F,FNiralee,ABA,0.3316369245089572
ɳ,d,HIN,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,345.91035,346.34256,Mrajesh1_107,ANRA,107,M,t_1099301,OTH,stimuli_raw/wav/FNiralee2.wav,47,FNiralee2_47,ENG,162.44044,162.01984,F,FNiralee,ADA,0.3349557336539794
ɳ,d͡ʒ,HIN,OthTgt,FNiralee,stimuli_raw/wav/FNiralee1.wav,924.6169800000001,925.04307,FNiralee1_110,ANRA,110,F,t_0958301,OTH,stimuli_raw/wav/Mrajesh2.wav,21,Mrajesh2_21,ENG,60.35148,59.98104,M,Mrajesh,ADXA,0.37240968833519095
ɳ,m,HIN,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,285.91694,286.28,Mrajesh2_107,ANRA,107,M,t_0617450,OTH,stimuli_raw/wav/FNiralee1.wav,69,FNiralee1_69,ENG,528.44725,527.96823,F,FNiralee,AMA,0.34597438411488135
ɳ,t͡ʃʰ,HIN,OthTgt,FNiralee,stimuli_raw/wav/FNiralee2.wav,406.98305,407.46443999999997,FNiralee2_107,ANRA,107,F,t_0477239,OTH,stimuli_raw/wav/Mrajesh2.wav,17,Mrajesh2_17,ENG,50.86762,50.49512,M,Mrajesh,ATXHA,0.34522436159027775
ɳ,ɦ,HIN,OthTgt,FNiralee,stimuli_raw/wav/FNiralee1.wav,926.789,927.2306800000001,FNiralee1_111,ANRA,111,F,t_0477951,OTH,stimuli_raw/wav/Mrajesh2.wav,92,Mrajesh2_92,ENG,247.21041,246.80321,M,Mrajesh,AHHA,0.3411673200238136
ɳ,ɾ,HIN,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,345.91035,346.34256,Mrajesh1_107,ANRA,107,M,t_1099481,OTH,stimuli_raw/wav/FNiralee2.wav,74,FNiralee2_74,ENG,305.53542000000004,305.1463,F,FNiralee,ARA,0.3165016837577052
ɳ,ʃ,HIN,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,284.16595,284.58224,Mrajesh2_106,ANRA,106,M,t_0611713,OTH,stimuli_raw/wav/FNiralee2.wav,83,FNiralee2_83,ENG,333.84978,333.35,F,FNiralee,AXA,0.33193558924000854
ɽ,l,HIN,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,281.28485,281.60483999999997,Mrajesh2_105,ARTA,105,M,t_1090176,OTH,stimuli_raw/wav/FNiralee2.wav,78,FNiralee2_78,ENG,316.62899,316.15774,F,FNiralee,ALA,0.24571827174687766
ɽ,m,HIN,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,281.28485,281.60483999999997,Mrajesh2_105,ARTA,105,M,t_1090080,OTH,stimuli_raw/wav/FNiralee2.wav,70,FNiralee2_70,ENG,294.14,293.59,F,FNiralee,AMA,0.3438491629214988
ɽ,t͡ʃʰ,HIN,TgtOth,Fsakshi,stimuli_raw/wav/Fsakshi2.wav,423.5841,423.94,Fsakshi2_104,ARTA,104,F,t_0095981,OTH,stimuli_raw/wav/Mnirbhay1.wav,18,Mnirbhay1_18,ENG,107.97,107.51,M,Mnirbhay,ATXHA,0.36402290010339217
ɽ,ɾ,HIN,OthTgt,FNiralee,stimuli_raw/wav/FNiralee2.wav,401.4192,401.84287,FNiralee2_105,ARTA,105,F,t_0472470,OTH,stimuli_raw/wav/Mrajesh2.wav,73,Mrajesh2_73,ENG,198.75,198.38288,M,Mrajesh,ARA,0.27042373648853824
ɽʱ,d,HIN,TgtOth,FNiralee,stimuli_raw/wav/FNiralee1.wav,887.9046599999997,888.3824800000001,FNiralee1_103,ARTHA,103,F,t_0949732,OTH,stimuli_raw/wav/Mrajesh2.wav,48,Mrajesh2_48,ENG,130.82,130.48873999999998,M,Mrajesh,ADA,0.33478178082223803
ɽʱ,g,HIN,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,269.92046,270.37,Mrajesh2_100,ARTHA,100,M,t_1083886,OTH,stimuli_raw/wav/FNiralee1.wav,7,FNiralee1_7,ENG,87.28907,86.82,F,FNiralee,AGA,0.32375124419891865
